S_No,City,Category,Business_Name,Phone,Email,GitHub_URL
1,Satna,Spa & Salon,"a one beauty",,,https://swadeeptripathi.github.io/vedam-websites/a-one-beauty-vedam/
2,Jabalpur,Travel & Tours,"A 2 Travels — Your Travel Partner in Satna",,,https://swadeeptripathi.github.io/vedam-websites/a2-travels-vedam/
3,Gwalior,Restaurant & Dhaba,"Aahar Tiffin Services",+918770212378,your@email.com,https://swadeeptripathi.github.io/vedam-websites/aahar-tiffin-services-vedam/
4,Indore,Other,"Aakash Indore 1",+918800810308,your@email.com,https://swadeeptripathi.github.io/vedam-websites/aakash-indore-1-vedam/
5,Indore,Other,"Aakash Indore 2",+918800013061,your@email.com,https://swadeeptripathi.github.io/vedam-websites/aakash-indore-2-vedam/
6,Indore,Other,"Aakash Vijaynagar",+919736621654,your@email.com,https://swadeeptripathi.github.io/vedam-websites/aakash-vijaynagar-vedam/
7,Gwalior,Gym & Fitness,"Ad Fitness Studio",+919520869722,your@email.com,https://swadeeptripathi.github.io/vedam-websites/ad-fitness-studio-vedam/
8,Gwalior,Dental & Eye Clinic,"Advanced Eye Care Gwalior",+919109973218,your@email.com,https://swadeeptripathi.github.io/vedam-websites/advanced-eye-care-gwalior-vedam/
9,Indore,Other,"Akhada Right Track",+917836357463,your@email.com,https://swadeeptripathi.github.io/vedam-websites/akhada-right-track-vedam/
10,Gwalior,Restaurant & Dhaba,"Alfanzo Restaurant",+919826000000,your@email.com,https://swadeeptripathi.github.io/vedam-websites/alfanzo-restaurant-vedam/
11,Gwalior,Coaching Institute,"Allen Career Institute Gwalior",+919513683910,your@email.com,https://swadeeptripathi.github.io/vedam-websites/allen-career-institute-gwalior-vedam/
12,Bhopal,Coaching Institute,"Allen Career Institute Bhopal",+917827048964,,https://swadeeptripathi.github.io/vedam-websites/allen-coaching-bhopal-vedam/
13,Indore,Other,"Allen Indore",+919736621654,your@email.com,https://swadeeptripathi.github.io/vedam-websites/allen-indore-vedam/
14,Indore,Gym & Fitness,"Anytime Fitness Indore",+918062689019,your@email.com,https://swadeeptripathi.github.io/vedam-websites/anytime-fitness-indore-vedam/
15,Jabalpur,Coaching Institute,"Aparajit IAS Academy",+919522147096,your@email.com,https://swadeeptripathi.github.io/vedam-websites/aparajit-ias-academy-vedam/
16,Jabalpur,Coaching Institute,"Apex Upsc Coaching",+919605741000,your@email.com,https://swadeeptripathi.github.io/vedam-websites/apex-upsc-coaching-vedam/
17,Indore,Dental & Eye Clinic,"Asg Eye Hospital City Centre",+918875029928,your@email.com,https://swadeeptripathi.github.io/vedam-websites/asg-eye-hospital-city-centre-vedam/
18,Gwalior,Dental & Eye Clinic,"Asg Eye Hospital Gwalior",+919285144405,your@email.com,https://swadeeptripathi.github.io/vedam-websites/asg-eye-hospital-gwalior-vedam/
19,Rewa,Bakery & Sweets,"Asha Caterers Mangaram Halwai",+919039978232,your@email.com,https://swadeeptripathi.github.io/vedam-websites/asha-caterers-mangaram-halwai-vedam/
20,Jabalpur,Coaching Institute,"Asha IAS Institute",+919818943583,your@email.com,https://swadeeptripathi.github.io/vedam-websites/asha-ias-institute-vedam/
21,Indore,Bakery & Sweets,"Bakeology Bakery",+917058892222,your@email.com,https://swadeeptripathi.github.io/vedam-websites/bakeology-bakery-vedam/
22,Indore,Bakery & Sweets,"Bakerywala Indore",+917771837774,your@email.com,https://swadeeptripathi.github.io/vedam-websites/bakerywala-indore-vedam/
23,Indore,Spa & Salon,"Barbee Unisex",+918209513317,your@email.com,https://swadeeptripathi.github.io/vedam-websites/barbee-unisex-vedam/
24,Bhopal,Restaurant & Dhaba,"Bhopal Social Premium Lounge",+919826846974,,https://swadeeptripathi.github.io/vedam-websites/bhopal-social-lounge-bhopal-vedam/
25,Bhopal,Dental & Eye Clinic,"BhopalDent Dental Clinic",+919826044737,,https://swadeeptripathi.github.io/vedam-websites/bhopaldent-dental-clinic-bhopal-vedam/
26,Gwalior,Bakery & Sweets,"Bikanervala Gwalior",+919522093000,your@email.com,https://swadeeptripathi.github.io/vedam-websites/bikanervala-gwalior-vedam/
27,Jabalpur,Coaching Institute,"BIOZONE Classes",+919827042252,your@email.com,https://swadeeptripathi.github.io/vedam-websites/biozone-classes-jabalpur-vedam/
28,Jabalpur,Spa & Salon,"Bridal Makeover Studio",+918889727688,your@email.com,https://swadeeptripathi.github.io/vedam-websites/bridal-makeover-studio-jabalpur-vedam/
29,Bhopal,Restaurant & Dhaba,"Cafe Thikana",+919547447228,your@email.com,https://swadeeptripathi.github.io/vedam-websites/cafe-thikana-vedam/
30,Gwalior,Other,"Career Launcher Gwalior",+919826000000,your@email.com,https://swadeeptripathi.github.io/vedam-websites/career-launcher-gwalior-vedam/
31,Jabalpur,Travel & Tours,"Central India Travel",+919425342568,your@email.com,https://swadeeptripathi.github.io/vedam-websites/central-india-travel-vedam/
32,Jabalpur,Travel & Tours,"Chaturvedi Travels",+917448754841,your@email.com,https://swadeeptripathi.github.io/vedam-websites/chaturvedi-travels-vedam/
33,Jabalpur,Dental & Eye Clinic,"Chauhan Dental Clinic",+919301911999,your@email.com,https://swadeeptripathi.github.io/vedam-websites/chauhan-dental-clinic-jabalpur-vedam/
34,Indore,Other,"Cmc Indore",+919993887962,your@email.com,https://swadeeptripathi.github.io/vedam-websites/cmc-indore-vedam/
35,Jabalpur,Spa & Salon,"Cute Look Beauty Salon",+919301819175,your@email.com,https://swadeeptripathi.github.io/vedam-websites/cute-look-beauty-salon-vedam/
36,Jabalpur,Coaching Institute,"CYNOSURE Civil Services Institute",+918989851047,your@email.com,https://swadeeptripathi.github.io/vedam-websites/cynosure-civil-services-institute-vedam/
37,Gwalior,Bakery & Sweets,"Dauji Mishthaan Bhandar",+919368866639,your@email.com,https://swadeeptripathi.github.io/vedam-websites/dauji-mishthaan-bhandar-vedam/
38,Jabalpur,Coaching Institute,"Deepika Classes",+918817511508,your@email.com,https://swadeeptripathi.github.io/vedam-websites/deepika-classes-vedam/
39,Gwalior,Dental & Eye Clinic,"Dental Solutions Gwalior",+919479936927,your@email.com,https://swadeeptripathi.github.io/vedam-websites/dental-solutions-gwalior-vedam/
40,Jabalpur,Spa & Salon,"Desire Makeover Salon",+917400595042,your@email.com,https://swadeeptripathi.github.io/vedam-websites/desire-makeover-salon-jabalpur-vedam/
41,Indore,Dental & Eye Clinic,"Dezy Dental Indore",+918877681454,your@email.com,https://swadeeptripathi.github.io/vedam-websites/dezy-dental-indore-vedam/
42,Rewa,Restaurant & Dhaba,"Dhuaan Rooftop Restaurant",,,https://swadeeptripathi.github.io/vedam-websites/dhuaan-rooftop-vedam/
43,Indore,Spa & Salon,"Drashti Beauty",+918741294714,your@email.com,https://swadeeptripathi.github.io/vedam-websites/drashti-beauty-vedam/
44,Jabalpur,Coaching Institute,"ELITE Classes",+919179168884,your@email.com,https://swadeeptripathi.github.io/vedam-websites/elite-classes-jabalpur-vedam/
45,Jabalpur,Coaching Institute,"Excellence Academy",+918989126309,your@email.com,https://swadeeptripathi.github.io/vedam-websites/excellence-academy-jabalpur-vedam/
46,Bhopal,Bakery & Sweets,"Fantasy Bakery Bhopal",+918448440914,,https://swadeeptripathi.github.io/vedam-websites/fantasy-bakery-bhopal-vedam/
47,Indore,Spa & Salon,"Fashionista Beauty Salon",+918959633244,your@email.com,https://swadeeptripathi.github.io/vedam-websites/fashionista-beauty-salon-vedam/
48,Gwalior,Gym & Fitness,"Fit Zone Gym Gwalior",+919520869722,your@email.com,https://swadeeptripathi.github.io/vedam-websites/fit-zone-gym-gwalior-vedam/
49,Singrauli,Gym & Fitness,"Fitness Hero's Unisex Gym — Singrauli",+919685950069,,https://swadeeptripathi.github.io/vedam-websites/fitness-heros-vedam/
50,Jabalpur,Coaching Institute,"Galaxy PAT Institute",+918982382989,your@email.com,https://swadeeptripathi.github.io/vedam-websites/galaxy-pat-institute-vedam/
51,Satna,Travel & Tours,"Galaxy Travels — Stellar Journeys Across the Galaxy",,,https://swadeeptripathi.github.io/vedam-websites/galaxy-travels-vedam/
52,Indore,Coaching Institute,"Gate Academy Indore",+919229867353,your@email.com,https://swadeeptripathi.github.io/vedam-websites/gate-academy-indore-vedam/
53,Jabalpur,Coaching Institute,"GKM Nursing Coaching",+919302168588,your@email.com,https://swadeeptripathi.github.io/vedam-websites/gkm-nursing-coaching-vedam/
54,Jabalpur,Spa & Salon,"Glam Bridal Studio",+919610733747,your@email.com,https://swadeeptripathi.github.io/vedam-websites/glam-bridal-studio-jabalpur-vedam/
55,Indore,Spa & Salon,"Glowup Beauty Academy",+919425116029,your@email.com,https://swadeeptripathi.github.io/vedam-websites/glowup-beauty-academy-vedam/
56,Indore,Gym & Fitness,"Golds Gym Bhawarkuan",+919294551118,your@email.com,https://swadeeptripathi.github.io/vedam-websites/golds-gym-bhawarkuan-vedam/
57,Bhopal,Gym & Fitness,"Gold's Gym Bhopal",+919109112355,,https://swadeeptripathi.github.io/vedam-websites/golds-gym-bhopal-vedam/
58,Jabalpur,Gym & Fitness,"Gold's Gym Jabalpur",+917898935513,your@email.com,https://swadeeptripathi.github.io/vedam-websites/golds-gym-jabalpur-vedam/
59,Indore,Gym & Fitness,"Golds Gym Vijaynagar",+917836357463,your@email.com,https://swadeeptripathi.github.io/vedam-websites/golds-gym-vijaynagar-vedam/
60,Jabalpur,Coaching Institute,"Goutam IAS Academy",+919165272944,your@email.com,https://swadeeptripathi.github.io/vedam-websites/goutam-ias-academy-vedam/
